"location","total_vaccinations","cum_total_vaccinations"
"Argentina","2021-04-19",193925499
"Argentina","2021-04-20",200358640
"Argentina","2021-04-21",206909208
"Argentina","2021-04-22",213602646
"Argentina","2021-04-23",220410057
"Argentina","2021-04-24",227427336
"Argentina","2021-04-25",234562285
"Argentina","2021-04-26",241776989
"Argentina","2021-04-27",249163639
"Argentina","2021-04-28",256721625
"Argentina","2021-04-29",264436631
"Argentina","2021-04-30",272301844
"Argentina","2021-05-01",280273314
"Argentina","2021-05-02",288271216
"Argentina","2021-05-03",296311009
"Argentina","2021-05-04",304508020
"Argentina","2021-05-05",312899533
"Argentina","2021-05-06",321490594
"Argentina","2021-05-07",330311285
"Argentina","2021-05-08",339313032
"Argentina","2021-05-09",348395629
"Argentina","2021-05-10",357518388
"Argentina","2021-05-11",366755393
"Argentina","2021-05-12",376139338
"Argentina","2021-05-13",385680849
"Argentina","2021-05-14",395385213
"Argentina","2021-05-15",405247836
"Argentina","2021-05-16",415175619
"Argentina","2021-05-17",425178449
"Argentina","2021-05-18",435371817
"Argentina","2021-05-19",445755742
"Argentina","2021-05-20",456305263
"Argentina","2021-05-21",467064045
"Argentina","2021-05-22",478022704
"Argentina","2021-05-23",489090254
"Argentina","2021-05-24",500239722
"Argentina","2021-05-25",511481931
"Argentina","2021-05-26",522812997
"Argentina","2021-05-27",534316473
"Argentina","2021-05-28",545993206
"Argentina","2021-05-29",557899903
"Argentina","2021-05-30",570019804
"Argentina","2021-05-31",582277101
"Argentina","2021-06-01",594774179
"Argentina","2021-06-02",607575294
"Argentina","2021-06-03",620654489
"Argentina","2021-06-04",634028556
"Argentina","2021-06-05",647759077
"Argentina","2021-06-06",661851570
"Argentina","2021-06-07",676187734
"Argentina","2021-06-08",690851539
"Argentina","2021-06-09",705864273
"Argentina","2021-06-10",721217681
"Argentina","2021-06-11",736947904
"Argentina","2021-06-12",753050645
"Argentina","2021-06-13",769337547
"Argentina","2021-06-14",785719590
"Argentina","2021-06-15",802363359
"Argentina","2021-06-16",819239978
"Argentina","2021-06-17",836412606
"Argentina","2021-06-18",853888541
"Argentina","2021-06-19",871725662
"Argentina","2021-06-20",889811051
"Argentina","2021-06-21",908009950
"Armenia","2021-03-31",565
"Armenia","2021-05-09",11292
"Armenia","2021-05-16",30541
