"location","vaccines_name"
"Northern Cyprus","Oxford/AstraZeneca"
"Northern Cyprus","Pfizer/BioNTech"
"Northern Cyprus","Sinovac"
"Northern Ireland","Moderna"
"Northern Ireland","Oxford/AstraZeneca"
"Northern Ireland","Pfizer/BioNTech"
"Norway","Moderna"
"Norway","Pfizer/BioNTech"
"Oman","Oxford/AstraZeneca"
"Oman","Pfizer/BioNTech"
"Pakistan","CanSino"
"Pakistan","Oxford/AstraZeneca"
"Pakistan","Sinopharm/Beijing"
"Pakistan","Sinovac"
"Pakistan","Sputnik V"
"Palestine","Moderna"
"Palestine","Oxford/AstraZeneca"
"Palestine","Pfizer/BioNTech"
"Panama","Oxford/AstraZeneca"
"Panama","Pfizer/BioNTech"
"Papua New Guinea","Oxford/AstraZeneca"
"Papua New Guinea","Sinopharm/Beijing"
"Paraguay","Covaxin"
"Paraguay","Oxford/AstraZeneca"
"Paraguay","Sinopharm/Beijing"
"Paraguay","Sinovac"
"Paraguay","Sputnik V"
"Peru","Oxford/AstraZeneca"
"Peru","Pfizer/BioNTech"
"Peru","Sinopharm/Beijing"
"Philippines","Oxford/AstraZeneca"
"Philippines","Pfizer/BioNTech"
"Philippines","Sinovac"
"Philippines","Sputnik V"
"Pitcairn","Oxford/AstraZeneca"
"Poland","Johnson&Johnson"
"Poland","Moderna"
"Poland","Oxford/AstraZeneca"
"Poland","Pfizer/BioNTech"
"Portugal","Johnson&Johnson"
"Portugal","Moderna"
"Portugal","Oxford/AstraZeneca"
"Portugal","Pfizer/BioNTech"
"Qatar","Moderna"
"Qatar","Pfizer/BioNTech"
"Romania","Johnson&Johnson"
"Romania","Moderna"
"Romania","Oxford/AstraZeneca"
"Romania","Pfizer/BioNTech"
"Russia","EpiVacCorona"
"Russia","Sputnik V"
"Rwanda","Moderna"
"Rwanda","Oxford/AstraZeneca"
"Rwanda","Pfizer/BioNTech"
"Saint Helena","Oxford/AstraZeneca"
"Saint Kitts and Nevis","Oxford/AstraZeneca"
"Saint Lucia","Oxford/AstraZeneca"
