location,iso_code,last_observation_date,vaccines
Sudan,SDN,20-06-2021,"BBIBP-CorV, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
Suriname,SUR,21-06-2021,Oxford/AstraZeneca
Sweden,SWE,18-06-2021,"Oxford/AstraZeneca, Pfizer/BioNTech"
Switzerland,CHE,20-06-2021,"Moderna, Pfizer/BioNTech"
Syria,SYR,06-06-2021,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
Taiwan,TWN,21-06-2021,"Moderna, Oxford/AstraZeneca"
Tajikistan,TJK,13-06-2021,Oxford/AstraZeneca
Thailand,THA,19-06-2021,"Oxford/AstraZeneca, Sinovac"
Timor-Leste,TLS,15-06-2021,"Oxford/AstraZeneca, Sinovac"
Togo,TGO,10-06-2021,Oxford/AstraZeneca
Tonga,TON,21-06-2021,Oxford/AstraZeneca
Trinidad and Tobago,TTO,21-06-2021,Oxford/AstraZeneca
Tunisia,TUN,20-06-2021,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V"
Turkey,TUR,21-06-2021,"Pfizer/BioNTech, Sinovac"
Turkmenistan,TKM,04-04-2021,"EpiVacCorona, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V"
Turks and Caicos Islands,TCA,18-06-2021,Pfizer/BioNTech
Tuvalu,TUV,15-06-2021,Oxford/AstraZeneca
Uganda,UGA,16-06-2021,Oxford/AstraZeneca
Ukraine,UKR,21-06-2021,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
United Arab Emirates,ARE,21-06-2021,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V"
United Kingdom,GBR,21-06-2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
United States,USA,21-06-2021,"Johnson&Johnson, Moderna, Pfizer/BioNTech"
Uruguay,URY,20-06-2021,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac"
Uzbekistan,UZB,15-06-2021,"Oxford/AstraZeneca, RBD-Dimer, Sputnik V"
Vanuatu,VUT,21-06-2021,Oxford/AstraZeneca
Venezuela,VEN,18-06-2021,"BBIBP-CorV, Sputnik V"
Vietnam,VNM,20-06-2021,Oxford/AstraZeneca
Wales,OWID_WLS,21-06-2021,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech"
Wallis and Futuna,WLF,21-06-2021,Oxford/AstraZeneca
Yemen,YEM,20-06-2021,Oxford/AstraZeneca
Zambia,ZMB,15-06-2021,"Oxford/AstraZeneca, Sinopharm/Beijing"
Zimbabwe,ZWE,20-06-2021,Sinopharm/Beijing
